epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2882.66,1.13591,0.52607,0.00525,0.91809,0.90989,0.94659,0.72151,1.08599,0.51875,0.00535,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2967.53,1.12622,0.51763,0.00518,0.93258,0.92198,0.95185,0.72821,1.08472,0.49902,0.00538,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3052.21,1.12454,0.5153,0.00515,0.92407,0.90559,0.9497,0.72545,1.07075,0.5039,0.00518,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3138.06,1.11482,0.514,0.00512,0.92507,0.90953,0.95111,0.727,1.07267,0.492,0.00525,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3224.69,1.11757,0.50291,0.00509,0.93422,0.92244,0.95599,0.73375,1.0567,0.47153,0.0052,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3309.42,1.11111,0.49729,0.0051,0.92428,0.91772,0.95525,0.73445,1.05668,0.48153,0.00521,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3394.18,1.10563,0.49983,0.00506,0.93831,0.9089,0.95385,0.734,1.06112,0.4797,0.00513,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3479.88,1.10543,0.49023,0.00501,0.93486,0.92251,0.95378,0.73876,1.04242,0.46601,0.00499,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3567.09,1.09946,0.48633,0.00503,0.93154,0.927,0.95573,0.73722,1.04487,0.4671,0.00504,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3650.9,1.09282,0.4868,0.00491,0.94221,0.9116,0.95448,0.73731,1.04981,0.4688,0.00509,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3735.75,1.09107,0.48008,0.00494,0.92514,0.91346,0.95412,0.73762,1.05468,0.46296,0.00511,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3821.19,1.08983,0.48332,0.00488,0.93535,0.92816,0.95645,0.74436,1.02806,0.46101,0.00491,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3908.43,1.09119,0.47296,0.00493,0.94467,0.91574,0.95673,0.74186,1.02804,0.45878,0.00498,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3992.15,1.07912,0.47308,0.00482,0.9258,0.92717,0.95751,0.74296,1.02644,0.45016,0.00495,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4076.79,1.0824,0.47054,0.00482,0.93954,0.9124,0.9575,0.74509,1.02172,0.45224,0.00486,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4161.43,1.0767,0.47182,0.0048,0.94137,0.92633,0.95887,0.75318,1.01265,0.43787,0.00474,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4248.07,1.06519,0.46395,0.00473,0.927,0.93375,0.96085,0.7559,1.00426,0.4341,0.00474,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4335.32,1.06731,0.46148,0.00473,0.941,0.93302,0.9593,0.75415,1.00874,0.43096,0.00475,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4420.19,1.06869,0.45801,0.00474,0.94064,0.92133,0.95885,0.75162,1.00125,0.43747,0.00475,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4504.97,1.05759,0.45236,0.00467,0.94727,0.916,0.96102,0.75759,0.98728,0.44412,0.00464,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4589.55,1.05518,0.44423,0.00471,0.94026,0.92971,0.96167,0.76227,0.98835,0.43379,0.00464,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4677.91,1.045,0.43453,0.00459,0.93494,0.92624,0.96481,0.76706,0.98262,0.41744,0.0046,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4762.43,1.04365,0.44176,0.00461,0.95752,0.92399,0.96389,0.76208,0.98245,0.41739,0.0046,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4845.43,1.04266,0.44311,0.0046,0.9485,0.92891,0.96277,0.7605,0.98837,0.42226,0.00468,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4930.21,1.04036,0.43903,0.00459,0.95176,0.92289,0.96184,0.76397,0.97123,0.42236,0.00454,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5019.96,1.0385,0.43959,0.00453,0.94545,0.92721,0.9631,0.76442,0.98009,0.41559,0.00453,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5105.25,1.03942,0.44264,0.00455,0.95197,0.92949,0.96493,0.76901,0.9674,0.42023,0.00451,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5189.71,1.03826,0.44018,0.00453,0.94909,0.91788,0.96341,0.76887,0.95775,0.42215,0.00448,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5273.38,1.02974,0.43447,0.0045,0.93606,0.93668,0.96492,0.77361,0.96291,0.40523,0.00445,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5361.94,1.02396,0.43397,0.00447,0.94326,0.93188,0.96512,0.77397,0.95744,0.41401,0.00443,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5447.43,1.02135,0.42721,0.00443,0.94917,0.93724,0.96552,0.77338,0.95799,0.40164,0.00443,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5532.4,1.01474,0.42588,0.00437,0.95329,0.92888,0.9675,0.77546,0.95162,0.4032,0.00439,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5617.79,1.02136,0.43033,0.00442,0.94922,0.93034,0.9652,0.77583,0.94359,0.40713,0.00432,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5705.31,1.01565,0.42062,0.00443,0.94622,0.93132,0.96542,0.77925,0.95008,0.39633,0.00434,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5791.78,1.00862,0.41789,0.00434,0.93642,0.9363,0.96563,0.7772,0.94644,0.39888,0.00431,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5875.17,1.01475,0.423,0.00438,0.94534,0.94299,0.96904,0.78102,0.94442,0.39368,0.00431,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5960.28,1.00723,0.41367,0.00437,0.95433,0.94046,0.96738,0.7803,0.93817,0.38935,0.00431,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6045.71,1.00501,0.4118,0.00429,0.95671,0.93407,0.96886,0.78291,0.93978,0.38766,0.00431,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
