epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1662.89,1.08694,0.4965,0.0051,0.90918,0.876,0.92637,0.69345,1.14282,0.59327,0.00583,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1712.83,1.08103,0.49214,0.00507,0.93007,0.87005,0.93282,0.71043,1.12873,0.58974,0.00562,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1762.9,1.07054,0.48058,0.00503,0.92144,0.86761,0.92758,0.70821,1.12115,0.60321,0.00567,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1812.98,1.08069,0.48653,0.00512,0.93331,0.87627,0.93354,0.71656,1.12725,0.58159,0.00554,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1864.24,1.05646,0.48663,0.00492,0.93664,0.87865,0.93026,0.71683,1.11607,0.59563,0.00538,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1916.29,1.06307,0.47161,0.00494,0.93002,0.88939,0.93155,0.70367,1.13158,0.57841,0.00564,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1967.41,1.06072,0.47309,0.00491,0.93416,0.89313,0.9382,0.71826,1.12322,0.56225,0.00548,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2017.31,1.05275,0.47087,0.00487,0.92573,0.89501,0.93982,0.72334,1.10488,0.563,0.00547,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2066.99,1.0417,0.45604,0.00483,0.92017,0.88806,0.93142,0.71179,1.11433,0.59188,0.00556,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2117.08,1.04264,0.46164,0.00474,0.9204,0.89559,0.93241,0.71596,1.0909,0.55988,0.00545,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2166.85,1.02844,0.4434,0.00469,0.93858,0.88742,0.93418,0.7165,1.12173,0.59148,0.00546,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2217.03,1.01663,0.43558,0.0046,0.9392,0.88173,0.93499,0.71718,1.11324,0.59067,0.00548,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2269.57,1.01486,0.44049,0.00458,0.93207,0.89499,0.93813,0.71979,1.09986,0.58054,0.00537,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2320.05,1.01366,0.43218,0.00456,0.93289,0.88267,0.9279,0.71959,1.10052,0.59832,0.00531,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2369.88,1.00832,0.42342,0.00453,0.93009,0.88994,0.93502,0.72341,1.10547,0.55294,0.00533,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2419.43,1.01198,0.42796,0.00455,0.94306,0.88078,0.93386,0.71325,1.12351,0.58545,0.00529,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2469.46,1.00094,0.42623,0.00447,0.94017,0.88184,0.93621,0.71776,1.11371,0.57542,0.00552,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2519.19,0.99118,0.42244,0.00446,0.92418,0.89364,0.93253,0.7201,1.11893,0.57357,0.00553,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2569.15,0.9887,0.416,0.00443,0.93723,0.88713,0.93803,0.7233,1.09919,0.54822,0.00528,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2621.2,0.98351,0.41854,0.00443,0.93419,0.87586,0.92719,0.71943,1.09284,0.60607,0.00533,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2673.29,0.98028,0.40959,0.00436,0.92246,0.8902,0.93052,0.71482,1.09405,0.6036,0.00527,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
