epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2874.73,0.92271,0.40355,0.00425,0.91133,0.86346,0.92293,0.70737,1.11026,0.63446,0.00532,0.000494885,0.000494885,0.000494885
43,2916.32,0.9179,0.40366,0.00429,0.90265,0.87475,0.92124,0.70846,1.13191,0.65046,0.0055,0.000486639,0.000486639,0.000486639
44,2983.67,0.89673,0.39629,0.0041,0.88432,0.89787,0.92566,0.69913,1.11071,0.62659,0.00536,0.000478392,0.000478392,0.000478392
45,3056.94,0.90312,0.38886,0.00418,0.90228,0.88383,0.92985,0.70215,1.10835,0.61844,0.00532,0.000470145,0.000470145,0.000470145
46,3133.84,0.89203,0.38438,0.00406,0.92873,0.87222,0.93503,0.71636,1.121,0.60231,0.00527,0.000461898,0.000461898,0.000461898
47,3213.9,0.89944,0.3837,0.00409,0.90531,0.88344,0.92798,0.71292,1.1223,0.6606,0.00543,0.000453652,0.000453652,0.000453652
48,3293.58,0.88636,0.37898,0.00389,0.94,0.86983,0.93927,0.72701,1.10261,0.61769,0.00538,0.000445405,0.000445405,0.000445405
49,3373.42,0.86355,0.3696,0.0039,0.9309,0.85115,0.92657,0.71324,1.11183,0.61537,0.00529,0.000437158,0.000437158,0.000437158
50,3452.81,0.86139,0.37271,0.00382,0.91574,0.88378,0.93838,0.72482,1.10066,0.63395,0.00516,0.000428912,0.000428912,0.000428912
51,3532.4,0.86169,0.37849,0.00382,0.92241,0.87052,0.93147,0.714,1.10442,0.58673,0.00526,0.000420665,0.000420665,0.000420665
52,3612.26,0.84985,0.36159,0.00375,0.9272,0.85555,0.92499,0.71711,1.11473,0.63118,0.00524,0.000412418,0.000412418,0.000412418
53,3691.8,0.84439,0.36642,0.00379,0.89374,0.89059,0.92404,0.72271,1.09753,0.64693,0.00527,0.000404172,0.000404172,0.000404172
54,3771.48,0.84513,0.35657,0.0037,0.9423,0.84585,0.91784,0.71137,1.10848,0.67074,0.00521,0.000395925,0.000395925,0.000395925
55,3851.06,0.83119,0.35774,0.0037,0.91342,0.83271,0.92017,0.70432,1.12924,0.64181,0.00541,0.000387678,0.000387678,0.000387678
56,3930.68,0.82545,0.35168,0.00361,0.89735,0.86532,0.92536,0.71717,1.10815,0.6628,0.00532,0.000379431,0.000379431,0.000379431
57,4010.08,0.82713,0.34395,0.00366,0.93643,0.88184,0.9367,0.71715,1.1127,0.61854,0.00528,0.000371185,0.000371185,0.000371185
58,4069.03,0.81845,0.34194,0.00357,0.89735,0.88322,0.93205,0.72179,1.10094,0.62457,0.00515,0.000362938,0.000362938,0.000362938
59,4136.99,0.80162,0.3308,0.00343,0.90917,0.88305,0.93342,0.72656,1.09569,0.62,0.00517,0.000354691,0.000354691,0.000354691
60,4217.07,0.79589,0.33596,0.00346,0.92435,0.8856,0.92695,0.71993,1.09819,0.62775,0.00523,0.000346445,0.000346445,0.000346445
61,4296.66,0.79514,0.33596,0.00339,0.90127,0.89217,0.92677,0.716,1.10778,0.63301,0.00528,0.000338198,0.000338198,0.000338198
